연번,쉼터명,면적(제곱미터),행정동,주소,운영시간,위도,경도,전화번호,데이터 기준일자,담당부서,담당자
89,롯데캐슬골드파크2차경로당,248,독산1동,서울특별시 금천구 벚꽃로 30,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4585128,126.8940287,070-4472-9110,2024-07-04,어르신장애인과,최은규
90,롯데캐슬골드파크3차경로당,63,독산1동,서울특별시 금천구 시흥대로 291,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.4599811,126.8972935,02-809-6876,2024-07-04,어르신장애인과,최은규
91,말미경로당,199,독산1동,서울특별시 금천구 범안로17길 22,"무더위쉼터 운영시간 : 월, 수, 금 13:00 ~ 17:00",37.467483,126.8944524,02-807-5669,2024-07-04,어르신장애인과,최은규
92,모두의 마을공간 커뮤니티센터,104,독산1동,서울특별시 금천구 벚꽃로 14,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.457272,126.894399,02-2627-1994,2024-07-04,어르신장애인과,최은규
93,금하마을주민공동이용시설,53.69,독산1동,서울특별시 금천구 금하로1다길 16,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4529824,126.8914286,02-897-1567,2024-07-04,어르신장애인과,최은규
94,금나래문화체육센터,252.72,독산1동,서울특별시 금천구 시흥대로79길 32,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4589314,126.8960531,02-805-7678,2024-07-04,어르신장애인과,최은규
95,금천구립독산도서관,33,독산4동,서울특별시 금천구 독산로54길 114,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4675724,126.9080685,02-863-9544,2024-07-04,어르신장애인과,최은규
96,금천문화회관,33,시흥3동,서울특별시 금천구 시흥대로38길 61,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4464185,126.9044462,02-896-8552,2024-07-04,어르신장애인과,최은규
97,금천마을활력소 어울샘,150,시흥5동,서울특별시 금천구 탑골로 22,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4518094,126.9116624,02-809-7860,2024-07-04,어르신장애인과,최은규
98,서울시립금천청소년센터,87.4,시흥2동,서울특별시 금천구 금하로30길 54,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4482205,126.9156965,02-803-1318,2024-07-04,어르신장애인과,최은규
99,동네방네 마을이음센터,50,시흥3동,서울특별시 금천구 시흥대로12길 10-5,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4385758,126.9043223,02-803-5687,2024-07-04,어르신장애인과,최은규
100,금천구마을공동체지원센터,119,시흥5동,서울특별시 금천구 은행나무로 45,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4510554,126.9075102,02-809-8826,2024-07-04,어르신장애인과,최은규
101,금천누리종합사회복지관,40,가산동,서울특별시 금천구 가산로 129,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4769094,126.8917326,02-868-6856,2024-07-04,어르신장애인과,최은규
102,금천어르신복지센터,60,독산1동,서울특별시 금천구 범안로17길 22,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.467483,126.8944524,02-807-5070,2024-07-04,어르신장애인과,최은규
103,금천어울림복지센터,60.19,시흥1동,서울특별시 금천구 시흥대로73길 30,무더위쉼터 운영시간 : 평일 09:00 ~ 18:00,37.4570127,126.8976251,02-6956-3420,2024-07-04,어르신장애인과,최은규
104,스타즈호텔 독산,22,독산1동,서울특별시 금천구 시흥대로 315,폭염특보 집중기간 한시적 운영 폭염특보 발령 시 평일/주말/휴일 18:00~익일 10:00,37.4609911,126.8962652,02-2096-4000,2024-07-04,어르신장애인과,최은규
